gene1,gene2,interaction_type
FAM157C,C12orf42,same_pathway
FAM157C,LINC01684,coexpression
FAM157C,CDC42SE2,coexpression
KDM1B,FCER1G,same_pathway
VSNL1,CEP295NL,same_pathway
VSNL1,CTNNA3,coexpression
VSNL1,LINC01559,coexpression
VSNL1,ZNF45-AS1,coexpression
CFAP20DC,RPL13AP7,same_pathway
CFAP20DC,FKBPL,coexpression
CFAP20DC,SRC,same_pathway
CFAP20DC,SDK1,same_pathway
JKAMPP1,RAP1BP2,same_pathway
JKAMPP1,PKNOX2,regulation
JKAMPP1,HIGD1AP3,regulation
JKAMPP1,ZNF652,same_pathway
JKAMPP1,LINC02838,same_pathway
CRY2,LINC01567,regulation
CRY2,ARFGAP2,same_pathway
CRY2,PABPC4,regulation
CRY2,EPHX2,regulation
CRY2,AFF1,coexpression
FAM157D,RPL29P25,regulation
FAM157D,ZP3P2,coexpression
FAM157D,CHRNA2,regulation
FAM157D,SPSB1,coexpression
FAM157D,TBX3-AS1,same_pathway
FAM157D,LINC00345,regulation
FAM157D,ADAMTS18,regulation
FAM157D,LINC00467,regulation
FAM157D,RNU4-77P,regulation
REL-DT,LINC02651,regulation
CLDN18,LINC02695,coexpression
CPM,TFDP1P1,same_pathway
CPM,RESF1,same_pathway
CPM,PLK2,same_pathway
ETS1,CTNNBL1,same_pathway
ETS1,ZBED5-AS1,same_pathway
ETS1,FSTL5,coexpression
ETS1,LINC02877,coexpression
ETS1,THEM7P,same_pathway
CDKAL1,LINC02103,same_pathway
HMGN1P11,PCDHGB1,coexpression
HMGN1P11,RNU2-36P,regulation
HMGN1P11,TMEM106B,coexpression
HMGN1P11,EEF1A1P28,coexpression
ATG2A,MACROD2,same_pathway
ATG2A,LINC02211,coexpression
ATG2A,LINC01789,regulation
ATG2A,RAPGEF6,regulation
PHF14,CORO2B,same_pathway
PHF14,ZNF117,same_pathway
AP4M1,ITPKB,regulation
AP4M1,ANO3,same_pathway
AP4M1,MTSS2,same_pathway
AP4M1,SYMPK,coexpression
SLC2A9-AS1,TECTA,same_pathway
SLC2A9-AS1,MAPT-AS1,regulation
ESR2,ELL,regulation
ESR2,PFKP-DT,same_pathway
ESR2,OBI1-AS1,regulation
ZCWPW1,CDH19,same_pathway
SPATS1,AHNAK,coexpression
SPATS1,MCFD2P1,coexpression
SPATS1,RNF6,coexpression
SIT1,ARHGAP20,same_pathway
SIT1,MED13,coexpression
SIT1,FHOD3,same_pathway
SIT1,MS4A6E,same_pathway
SIT1,GPBP1,regulation
PCDHA2,APH1B,regulation
PCDHA2,RPL23AP22,coexpression
LRRK2,SHANK2,coexpression
LRRK2,SORL1,coexpression
LINC02211,RPS23P10,same_pathway
SLC4A1AP,EIF4EBP2P3,regulation
SLC4A1AP,SH3RF1,regulation
SLC4A1AP,FUT2,coexpression
SLC4A1AP,ZNF280C,coexpression
CELF2,USP50,coexpression
CELF2,LINC02498,regulation
CELF2,TMCC1-DT,same_pathway
CELF2,LINC02253,coexpression
CELF2,TSHZ2,coexpression
AQP4-AS1,LINC02210-CRHR1,regulation
AQP4-AS1,ZNF462,regulation
AQP4-AS1,RFC5P1,coexpression
AQP4-AS1,BACE2,regulation
GATAD2A,TPTE2P3,same_pathway
GATAD2A,FAR2,coexpression
GATAD2A,ABCB9,coexpression
GATAD2A,CABLES1,same_pathway
CDH19,KIFC3,same_pathway
CDH19,IKZF4,regulation
TREM1,SUNO1,same_pathway
TREM1,OSER1-DT,same_pathway
TREM1,HID1-AS1,regulation
TREM1,GALNT10,same_pathway
LINC01163,MGC27382,regulation
CA12,TMEM272,regulation
CA12,TENM2-AS1,same_pathway
CA12,LINC02585,same_pathway
CA12,MIR5702,coexpression
SP6,YAP1,coexpression
LINC01808,CPEB1-AS1,regulation
LINC01808,TMEM132C,same_pathway
LINC01808,CACNA1A,same_pathway
LINC01808,CDH1,same_pathway
LINC01808,UNC5C-AS1,same_pathway
SPMIP7,RNA5SP189,regulation
SPMIP7,GOLPH3L,regulation
SPMIP7,KCNG4,coexpression
SPMIP7,CISD1,same_pathway
SPMIP7,MTND2P9,coexpression
SPMIP7,LARP4,regulation
SPMIP7,PLPP4,coexpression
SPMIP7,LINC01121,coexpression
SPMIP7,TCF20,regulation
SPMIP7,ERCC2,same_pathway
SPMIP7,HYAL2,same_pathway
SPMIP7,VAV3-AS1,coexpression
SPMIP7,CHST1,regulation
SPMIP7,GABRA4,coexpression
SPMIP7,OR5D14,regulation
SPRING1P3,RAC1P2,regulation
LINC01774,RPS20P25,regulation
LINC01774,RN7SKP168,same_pathway
LINC01774,RBCK1,same_pathway
LINC01774,NECAP1P1,same_pathway
DGKI,MS4A3,regulation
DGKI,SKOR2,same_pathway
DGKI,ADGRL2,same_pathway
DGKI,HSP90AA4P,coexpression
DGKI,SETX,regulation
DGKI,IGHG3,coexpression
DGKI,SPPL2A,regulation
DGKI,NFAT5,coexpression
CDC42SE2,RAB11AP2,coexpression
CDC42SE2,TENM2,same_pathway
CDC42SE2,FLRT2,coexpression
CDC42SE2,IQGAP2,regulation
CDC42SE2,MME,same_pathway
GABRG3,DDX43P2,coexpression
GABRG3,PILRA,coexpression
GABRG3,ARL2BPP4,regulation
GABRG3,LINC02422,coexpression
GABRG3,CHSY3,same_pathway
LINC02623,CHST15,coexpression
LINC02623,AP2A2,same_pathway
LINC02623,CPM,same_pathway
PUS1,NSF,same_pathway
BLOC1S4,USP3,coexpression
ZZEF1,SUMO2P6,regulation
ZZEF1,LINC00971,regulation
ZZEF1,ERC2,regulation
IKZF1,RDH10-AS1,same_pathway
IKZF1,PRPF38AP1,same_pathway
IKZF1,FGF10,coexpression
EIF2S2P7,ZNF232-AS1,regulation
EIF2S2P7,ADGRG4,coexpression
EIF2S2P7,TMEM94,regulation
EIF2S2P7,LINC02279,same_pathway
FOXP4-AS1,NDUFAF2,same_pathway
FOXP4-AS1,MAF,coexpression
FOXP4-AS1,OTX2P1,coexpression
CD300LG,LINC02898,coexpression
CD300LG,CICP17,coexpression
CD300LG,CELF2,coexpression
CD300LG,CELSR1,same_pathway
CD300LG,GGACT,coexpression
SIGLEC22P,VN1R104P,coexpression
SIGLEC22P,RAPGEF6,same_pathway
PSD3,SDR9C7,regulation
PSD3,ARMH3,same_pathway
PSD3,IDUA,regulation
PSD3,RBFOX1,regulation
PSD3,ZNF222-DT,regulation
CEP170,CHSY3,coexpression
CEP170,RHOA,coexpression
CEP170,LINC02114,same_pathway
RIMS1,AP2A2,same_pathway
RIMS1,CIMAP3,same_pathway
RIMS1,BCL10-AS1,coexpression
RIMS1,EPHX2,same_pathway
RIMS1,ZNF225-AS1,regulation
RIMS1,TRPV4,same_pathway
RIMS1,CCT3,regulation
RIMS1,LINC02133,coexpression
RIMS1,IRX1,coexpression
RIMS1,MSRA,coexpression
RIMS1,LNC-LBCS,same_pathway
RIMS1,ZBTB16,coexpression
RIMS1,ARHGAP45,coexpression
RIMS1,RN7SKP211,coexpression
PPP1R37,MID1,coexpression
PPP1R37,MTRFR,same_pathway
ALCAM,FAM210B,same_pathway
ALCAM,CTAGE12P,regulation
ALCAM,PPP1CC,same_pathway
MADD,RPL3P11,same_pathway
RPL6P17,ABAT,coexpression
RPL6P17,MIR572,coexpression
RPL6P17,CPM,same_pathway
RPL6P17,C10orf71,coexpression
RPL6P17,LYPD5,coexpression
RPL6P17,OR8H1,coexpression
RPL6P17,SPG11,coexpression
RPL6P17,LINC01231,regulation
PURPL,ZNF862,same_pathway
PURPL,PRPF19P1,coexpression
PURPL,LINC03015,regulation
PURPL,MINDY2-DT,same_pathway
SNX1,MEF2C,same_pathway
LINC02946,RPS27P10,coexpression
LINC02946,LINC02307,same_pathway
LINC02946,CCDC85B,same_pathway
LINC02946,LINC02619,same_pathway
UMAD1,ARHGAP15,regulation
UMAD1,LINC01861,coexpression
UMAD1,TXNL1,regulation
UMAD1,HLA-DRB5,coexpression
UMAD1,CBLC,regulation
ST6GALNAC2P1,PPP1R3B,same_pathway
ST6GALNAC2P1,STAU2-AS1,same_pathway
ST6GALNAC2P1,LINC02518,same_pathway
ST6GALNAC2P1,RNU6-909P,same_pathway
ST6GALNAC2P1,ATXN7L1,same_pathway
MPZL1,RPS3AP17,regulation
PIK3CG,CD2AP,coexpression
PIK3CG,BRD1,same_pathway
PIK3CG,WAC,coexpression
PIK3CG,ZSWIM2,coexpression
STK33P1,PICALM,same_pathway
STK33P1,SPMIP7,regulation
STK33P1,DYNLRB2-AS1,coexpression
GTF2H3,SPSB1,same_pathway
HRK,RNU6-456P,same_pathway
HRK,SCARB2,same_pathway
HRK,LINC01098,regulation
MAML3,SIT1,regulation
MAML3,DCAF7,regulation
MAML3,OR7E109P,same_pathway
MAML3,CNTNAP2,coexpression
MAML3,ADAMTS9-AS2,regulation
R3HDM2P2,IL19,coexpression
RNA5SP261,SUSD5,same_pathway
RNA5SP261,MGC27382,regulation
RNA5SP261,H2BC4,coexpression
RNA5SP261,MTMR3,same_pathway
RNA5SP261,MIR155HG,coexpression
RNA5SP261,RPS17P11,coexpression
KCNG4,TENM4,same_pathway
PDS5B,ADGRL2,same_pathway
PDS5B,GRM3,regulation
PDS5B,SLC39A8,coexpression
ABCF3,PPIL6,same_pathway
SUMO2P6,RAPGEF2,same_pathway
SUMO2P6,TRIM51G,coexpression
NFIB,PTK2B,coexpression
NFIB,GMPPB,same_pathway
NFIB,OR5D17P,same_pathway
NFIB,LINC01994,same_pathway
NFIB,DDX43P2,regulation
MTSS2,RPS8P3,regulation
MTSS2,GLRXP1,regulation
MTSS2,MME,regulation
MTSS2,APOE,regulation
PRRT1,RAI14-DT,same_pathway
PRRT1,ABCF3,regulation
PRRT1,NPEPPSP1,same_pathway
PRRT1,LINC00923,coexpression
LINC02109,CCDC91,coexpression
LINC02109,TUSC1,regulation
LINC02109,NUDT12,regulation
LINC02109,ITGAX,coexpression
LINC02109,RDH10-AS1,same_pathway
TMEM163,KCNJ3,regulation
TMEM163,RBM20,same_pathway
TMEM163,PARP8,same_pathway
TRIM36,LINC00052,regulation
CLDN17,CR1L,same_pathway
KLHL36,FKBP1C,same_pathway
SNAPC2,ADAMTS18,same_pathway
SNAPC2,TRAIP,coexpression
SNAPC2,MAST2,same_pathway
RPL7P60,AIDAP3,same_pathway
RPL7P60,CASC11,coexpression
ABHD12,AP1S2P1,same_pathway
ABHD12,JCAD,regulation
LINC01789,ATXN2L,regulation
LINC01789,UGT1A8,coexpression
LINC01789,PDS5B,regulation
LINC01789,NDUFAF7,regulation
LINC01789,CR1L,coexpression
LINC01789,RANP7,same_pathway
LINC01789,RNU6ATAC21P,coexpression
LINC01789,GMNC,coexpression
LINC01789,OVOL2,coexpression
LINC01789,CDH19,same_pathway
LINC01789,AKR7A3,regulation
LINC01789,ZBED5-AS1,same_pathway
LINC01789,ZNF280C,same_pathway
LINC01789,XIRP2,coexpression
LINC01789,ROBO2P1,regulation
NSF,DIO2-AS1,regulation
NSF,IKZF4,regulation
LINC01679,YWHAQ,coexpression
LINC01679,JAZF1,coexpression
LINC01679,LCORL,regulation
GRM7-AS3,KLF16,same_pathway
GRM7-AS3,LINC01866,regulation
LINC02307,SPRED2,coexpression
LINC02307,ETV1,regulation
LINC02307,FAM157D,regulation
LINC02307,MYO1C,regulation
LINC02307,LINC00343,same_pathway
CIMAP3,NLGN4X,coexpression
KCTD9P6,MIR1202,same_pathway
KCTD9P6,CD72,regulation
KCTD9P6,AGAP1,coexpression
KCTD9P6,EGR2,coexpression
ZNF680P1,KLHDC1,regulation
ZNF680P1,ZIC5,same_pathway
ZNF680P1,SEM1,same_pathway
ZNF680P1,LINC02392,same_pathway
ZNF680P1,SORL1,same_pathway
SF3B3,ZSCAN12,coexpression
SF3B3,CDK13,coexpression
SF3B3,LINC02942,coexpression
SF3B3,AP1S2P1,coexpression
LINC01080,STRADA,coexpression
LINC01080,TIAM2,same_pathway
LINC01080,OR7E136P,regulation
LINC01080,SDR9C7,coexpression
OR4C3,CPSF6,same_pathway
OR4C3,LRP1B,coexpression
OR4C3,EXO1,same_pathway
EIF4G3,CDC42SE2,regulation
EIF4G3,MACROD2,same_pathway
CYP8B1,TET2-AS1,coexpression
CYP8B1,CD300LG,same_pathway
CYP8B1,SREBF2,coexpression
CYP8B1,TRIM36,same_pathway
CYP8B1,FLNB,regulation
GGACT,RNU6-280P,coexpression
GGACT,PGPEP1,coexpression
DYNLL1P4,CEACAM16-AS1,coexpression
DYNLL1P4,SEZ6L2,coexpression
DYNLL1P4,CELSR1,coexpression
DYNLL1P4,DNAH14,same_pathway
DYNLL1P4,EMP1,coexpression
DYNLL1P4,DLG2,same_pathway
DYNLL1P4,ARFGAP2,regulation
DYNLL1P4,RNU6-718P,same_pathway
DYNLL1P4,ARVCF,same_pathway
DYNLL1P4,ELL,coexpression
DYNLL1P4,CARM1P1,same_pathway
DYNLL1P4,KIR3DL2,same_pathway
DYNLL1P4,EDIL3-DT,coexpression
RN7SKP224,TRIM48,same_pathway
RN7SKP224,CHRM3,regulation
RN7SKP224,KAT8,coexpression
RNU6-1037P,PTN,regulation
RNU6-1037P,ALDH4A1,regulation
RNU6-1037P,ADAMTS4,same_pathway
RNU6-1037P,RPL5P19,regulation
RPL36AP40,CD72,regulation
RPL36AP40,EXOC4,regulation
MRPL50P1,RN7SKP182,same_pathway
GCNT7,CASC11,same_pathway
GCNT7,CAMTA1,regulation
LDLR,AGT,same_pathway
DLX5,KDM1B,regulation
DLX5,RPL23AP68,coexpression
DLX5,LINC02512,coexpression
CYYR1-AS1,CABLES1,coexpression
CYYR1-AS1,AFF3,regulation
CYYR1-AS1,PMS2CL,regulation
CYYR1-AS1,LRP1B,coexpression
CYYR1-AS1,ACSL6,coexpression
TMEM132C,SNRPCP13,regulation
TMEM132C,AS3MT,coexpression
LINC00877,IDUA,same_pathway
SPI1,NEPRO-AS1,coexpression
SPI1,IP6K1,regulation
SPI1,RPS17P2,same_pathway
ABCG8,SALL1,coexpression
ABCG8,DISC1FP1,same_pathway
ABCG8,ABCA7,regulation
CCNT2-AS1,CNN2P8,regulation
CCNT2-AS1,PCDHA4,same_pathway
CCNT2-AS1,LINC02016,coexpression
CCNT2-AS1,DYNLL1P4,regulation
LINC00917,CTSB,same_pathway
LINC00917,GDF9,regulation
LINC00917,CCDC33,regulation
LINC00917,CPEB1-AS1,coexpression
LINC00917,ITSN2,coexpression
ANK3,LIPC,coexpression
ANK3,APLNR,same_pathway
ANK3,CTAGE12P,coexpression
ANK3,SALL1,regulation
CBLC,CLIC5,regulation
CBLC,GUSBP18,coexpression
CBLC,RPL21P41,same_pathway
LINC02775,ANKRD55,same_pathway
LINC02775,LINC02177,same_pathway
LINC02775,GRIN3B,coexpression
LINC02775,EFHB,same_pathway
LINC02775,ATP8B4,regulation
CASS4,SEC61G-DT,regulation
LINC00899,ANO4,regulation
LINC00899,PRKG1,same_pathway
LRRN2,RNA5SP63,regulation
LRRN2,MMP12,same_pathway
LRRN2,CDH13,regulation
LRRN2,FRMD4B,coexpression
IQCF6,KAT8,regulation
IQCF6,CR1,coexpression
IQCF6,ARSA,regulation
IQCF6,NFIB,same_pathway
IQCF6,HLA-DRB9,regulation
IQCF6,ARHGAP24,regulation
IQCF6,MIR4432HG,regulation
IQCF6,ATP5MC2P2,regulation
SMIM15P2,LINC02268,coexpression
SMIM15P2,LINC02568,coexpression
SMIM15P2,ANGPT4,same_pathway
SMIM15P2,SPRY2,regulation
LINC01192,PPP1R42,coexpression
LINC01192,B4GALNT2P1,regulation
LINC01192,DSG2,same_pathway
UNC93B4,RNU2-54P,regulation
CHD1-DT,ATP5MC2P2,same_pathway
LIN28B,SSBP4,same_pathway
LIN28B,SUSD5,same_pathway
LIN28B,RBM23,coexpression
LIN28B,ZFP3-DT,coexpression
LIN28B,DHDDS,same_pathway
LIN28B,SYPL1,regulation
LIN28B,KRT18P16,coexpression
LIN28B,IL17RD,same_pathway
LIN28B,TRIM56,coexpression
DLC1,FBXO40,same_pathway
DLC1,ZNF117,coexpression
DLC1,DDX43P2,same_pathway
DLC1,PPIAP16,coexpression
LINC02645,ST6GALNAC2P1,regulation
LINC02645,RNU6-1069P,same_pathway
LINC02645,H3C9P,coexpression
LINC02645,WDR70,coexpression
ADARB2,MLPH,coexpression
ADARB2,AKR7A3,same_pathway
ADARB2,LINC00895,regulation
NARS2,MEIOSIN,regulation
NARS2,HLA-DRB5,coexpression
NARS2,RNU6-21P,coexpression
NARS2,GAU1,same_pathway
NARS2,TMEM94,coexpression
LINC00375,CNTNAP4,same_pathway
LINC00375,XIRP2,regulation
LINC00375,RAC1P2,same_pathway
PHKG1P3,RNA5SP178,same_pathway
PHKG1P3,SUSD5,regulation
PHKG1P3,RERG,same_pathway
PHKG1P3,C12orf42,same_pathway
PHKG1P3,ZNF280C,regulation
SFXN1,LINC02715,same_pathway
SFXN1,LINC01808,coexpression
SFXN1,TXNL1,same_pathway
DHDDS,CR1L,same_pathway
DHDDS,MTM1,same_pathway
DHDDS,JAZF1,coexpression
APP-DT,KPNA7,same_pathway
APP-DT,TRIM36,regulation
PLA2R1,IGSF23,coexpression
PLA2R1,ZBTB25,same_pathway
LINC01800,CIMAP3,same_pathway
LINC01800,OVCH1-AS1,regulation
ARID1B,NEGR1,regulation
ARID1B,ZNF230,regulation
ARID1B,LINC01684,regulation
NUP160,OPLAH,same_pathway
NUP160,SEMA3A,same_pathway
NUP160,FOXP2,regulation
NUP160,ZNF204P,same_pathway
NUP160,MCFD2P1,coexpression
COL18A1,RBM19,same_pathway
COL18A1,LINC00524,coexpression
COL18A1,CNGB1,same_pathway
COL18A1,RORA,regulation
SEC24B,CST6,same_pathway
SEC24B,RFX4,coexpression
SEC24B,PARVB,coexpression
SEC24B,RNU6-649P,coexpression
SEC24B,RIMS1,same_pathway
SEC24B,MIR5692A2,regulation
SEC24B,AOX1,regulation
SEC24B,FBXO11,regulation
SEC24B,SLC2A9-AS1,coexpression
SEC24B,LINC02497,coexpression
SEC24B,LINC02114,coexpression
SEC24B,UNC13A,coexpression
SEC24B,ADARB2,coexpression
RPTOR,HRK,same_pathway
OLFM3,ATP6V0E2,regulation
OLFM3,KSR2,same_pathway
OLFM3,TTLL11,regulation
OLFM3,LINC01957,regulation
OLFM3,FOXP4-AS1,regulation
PAX2,SLC39A8,regulation
PAX2,CLDN18,coexpression
PAX2,GAPDHP38,same_pathway
PAX2,NOC4L,same_pathway
FNIP2,ADCYAP1R1,regulation
FNIP2,USP50,same_pathway
FNIP2,QKILA,same_pathway
PDK4-AS1,KIFC3,regulation
PDK4-AS1,NUDT12,same_pathway
MYO16,CTD-2194D22.4,regulation
MYO16,CDH19,same_pathway
MYO16,SMYD2,same_pathway
MYO16,PDE7B-AS1,same_pathway
MYO16,STAG3L5P-PVRIG2P-PILRB,same_pathway
BNIP3,LINC02392,same_pathway
BNIP3,BORCS5,coexpression
BNIP3,ARFGEF2,regulation
OFCC1,OACYLP,regulation
OFCC1,APOB,regulation
OFCC1,OSBPL6,coexpression
PIK3C2B,PABPC4,same_pathway
PIK3C2B,RPL5P19,same_pathway
PIK3C2B,CISD1,coexpression
PIK3C2B,ANKRD55,coexpression
PIK3C2B,RTF2,regulation
GLRXP1,GAU1,coexpression
ADAM18,BLTP3A,same_pathway
ADAM18,EFL1,regulation
ADAM18,GABRG3,coexpression
ADAM18,LINC01866,regulation
ZFPM2,CALCRL-AS1,coexpression
ZFPM2,MKLN1,same_pathway
ZFPM2,KCNN2,regulation
ZFPM2,ADGRB3,regulation
ANGPT4,USP50,regulation
ANGPT4,ZNF652,same_pathway
ANGPT4,RHBDF1,same_pathway
GPX4,TRPS1,same_pathway
RNY4P18,PSMC6,coexpression
RNY4P18,DVL2,regulation
RNY4P18,LAMB2,regulation
UNC5C-AS1,SUMO2P6,coexpression
UNC5C-AS1,CAMTA1,coexpression
UNC5C-AS1,NTSR1,regulation
UNC5C-AS1,CCDC88C-DT,coexpression
UNC5C-AS1,RN7SL299P,same_pathway
UNC5C-AS1,RPL7AP36,coexpression
UNC5C-AS1,LINC02271,regulation
UNC5C-AS1,HYAL2,regulation
ARIH1,NR3C2,same_pathway
DIO2-AS1,SNRPCP2,coexpression
NF1P12,MIR548A1HG,regulation
NF1P12,LINC03022,same_pathway
NF1P12,CACNA1G,regulation
NF1P12,RFX4,regulation
NF1P12,AP1S2P1,same_pathway
ICA1,SMIM28,same_pathway
ZNF689,LINC00927,regulation
ZNF689,PRANCR,regulation
ZNF689,NOVA2,coexpression
ICOS,KRT18P16,regulation
ICOS,REDIC1,coexpression
KRT18P64,DHDDS,regulation
